SKU Code,CFA Code,Channel,Quantity,DATE,Secondary Sales Amount STC,Secondary Sales Amount Invoiced,Secondary Sales Amount Returned,Secondary Sales Quantity Invoiced,Secondary Sales Quantity Returned,SKU Combination
8,0,1,2,2019-01-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-02-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-03-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-04-01,7103.14,7103.14,0.0,192.0,0.0,0
8,0,1,2,2019-05-01,31971.88,31971.88,0.0,864.0,0.0,0
8,0,1,2,2019-06-01,-1776.5,-1776.5,0.0,0.0,0.0,0
8,0,1,2,2019-07-01,8882.45,8882.45,0.0,240.0,0.0,0
8,0,1,2,2019-08-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-09-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-10-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-11-01,0.0,0.0,0.0,0.0,0.0,0
8,0,1,2,2019-12-01,0.0,0.0,0.0,0.0,0.0,0
8,0,2,1,2018-07-01,3979.63,3979.63,0.0,144.0,0.0,1
8,0,2,2,2018-09-01,42961.38,42961.38,0.0,1220.0,0.0,1
8,0,2,2,2018-10-01,1461012.58,1461012.58,-8351.95,41782.0,-198.0,1
8,0,2,2,2018-11-01,542926.8200000002,542926.8200000002,-12872.3,15932.0,-310.0,1
8,0,2,2,2018-12-01,341403.30000000005,341403.30000000005,-597.15,9855.0,-14.0,1
8,0,2,2,2019-01-01,1852032.4200000016,1852032.4200000016,-2282.34,54853.0,-57.0,1
8,0,2,2,2019-02-01,447448.04,565051.63,19775.0,13429.0,492.0,1
8,0,2,2,2019-03-01,337345.35,432491.0,34663.0,10333.0,864.0,1
8,0,2,2,2019-04-01,396439.67,494103.0,5630.0,11902.0,144.0,1
8,0,2,2,2019-05-01,359312.4699999999,447114.0,1988.0,10804.0,48.0,1
8,0,2,2,2019-06-01,287385.53999999986,340990.2,296.0,8396.0,7.0,1
8,0,2,2,2019-07-01,238524.67,295924.0,0.0,7050.0,0.0,1
8,0,2,2,2019-08-01,785056.8899999999,939396.74,7993.0,24254.0,200.0,1
8,0,2,2,2019-09-01,282367.37,379324.35,35962.0,9496.0,900.0,1
8,0,2,2,2019-10-01,284271.99,378156.52,29386.0,9194.0,728.0,1
8,0,2,2,2019-11-01,1409202.82,1664390.71,6112.0,41343.0,148.0,1
8,0,2,2,2019-12-01,668741.4299999999,887681.0,95419.0,21115.0,2400.0,1
8,1,1,2,2019-01-01,0.0,0.0,0.0,0.0,0.0,2
8,1,1,2,2019-02-01,0.0,0.0,0.0,0.0,0.0,2
8,1,1,2,2019-03-01,0.0,0.0,0.0,0.0,0.0,2
8,1,1,2,2019-04-01,0.0,0.0,0.0,0.0,0.0,2
